"Date","Index","Close","Close_scale"
"2020-12-07","MSFT",214.289993,133.41
"2020-12-08","MSFT",216.009995,134.49
"2020-12-09","MSFT",211.800003,131.86
"2020-12-10","MSFT",210.520004,131.07
"2020-01-02","GOOGL",1368.680054,100
"2020-01-03","GOOGL",1361.52002,99.48
"2020-01-06","GOOGL",1397.810059,102.13
"2020-01-07","GOOGL",1395.109985,101.93
"2020-01-08","GOOGL",1405.040039,102.66
"2020-01-09","GOOGL",1419.790039,103.73
"2020-01-10","GOOGL",1428.959961,104.4
"2020-01-13","GOOGL",1440.030029,105.21
"2020-01-14","GOOGL",1430.589966,104.52
"2020-01-15","GOOGL",1439.199951,105.15
"2020-01-16","GOOGL",1450.160034,105.95
"2020-01-17","GOOGL",1479.52002,108.1
"2020-01-21","GOOGL",1482.25,108.3
"2020-01-22","GOOGL",1483.869995,108.42
"2020-01-23","GOOGL",1484.689941,108.48
"2020-01-24","GOOGL",1466.170044,107.12
"2020-01-27","GOOGL",1431.72998,104.61
"2020-01-28","GOOGL",1450.5,105.98
"2020-01-29","GOOGL",1456.699951,106.43
"2020-01-30","GOOGL",1454.25,106.25
"2020-01-31","GOOGL",1432.780029,104.68
"2020-02-03","GOOGL",1482.599976,108.32
"2020-02-04","GOOGL",1445.410034,105.61
"2020-02-05","GOOGL",1446.050049,105.65
"2020-02-06","GOOGL",1475.969971,107.84
"2020-02-07","GOOGL",1479.109985,108.07
"2020-02-10","GOOGL",1508.660034,110.23
"2020-02-11","GOOGL",1510.060059,110.33
"2020-02-12","GOOGL",1518.630005,110.96
"2020-02-13","GOOGL",1513.390015,110.57
"2020-02-14","GOOGL",1518.72998,110.96
"2020-02-18","GOOGL",1519.439941,111.01
"2020-02-19","GOOGL",1524.869995,111.41
"2020-02-20","GOOGL",1516.98999,110.84
"2020-02-21","GOOGL",1483.459961,108.39
"2020-02-24","GOOGL",1419.859985,103.74
"2020-02-25","GOOGL",1386.319946,101.29
"2020-02-26","GOOGL",1390.469971,101.59
"2020-02-27","GOOGL",1314.949951,96.07
"2020-02-28","GOOGL",1339.25,97.85
"2020-03-02","GOOGL",1386.319946,101.29
"2020-03-03","GOOGL",1337.719971,97.74
"2020-03-04","GOOGL",1381.599976,100.94
"2020-03-05","GOOGL",1314.76001,96.06
"2020-03-06","GOOGL",1295.73999,94.67
"2020-03-09","GOOGL",1215.790039,88.83
"2020-03-10","GOOGL",1275.170044,93.17
"2020-03-11","GOOGL",1210.900024,88.47
"2020-03-12","GOOGL",1111.550049,81.21
"2020-03-13","GOOGL",1214.27002,88.72
